Stationary,1581013521902,1581013663846
Walking-flat-surface,1581013680711,1581013796932
Walking-up-stairs,1581013915574,1581013962213
Walking-down-stairs,1581013972169,1581014021838
Elevator-up,1581014042724,1581014069182
Elevator-down,1581014076872,1581014093545
Elevator-up,1581014107398,1581014155053
Elevator-up,1581014172683,1581014190861
Elevator-down,1581014200589,1581014219314
Elevator-up,1581016944049,1581016961038
Elevator-down,1581016970954,1581016988511
Walking-up-stairs,1581017064120,1581017110482
Walking-down-stairs,1581017156690,1581017181192
Running,1581017231252,1581017361957
