Stationary,1581012639946,1581012649673
Stationary,1581012651695,1581012873706
Walking-flat-surface,1581013157048,1581013322594
Elevator-up,1581013438393,1581013454056
Elevator-down,1581013465694,1581013482739
Walking-up-stairs,1581013498227,1581013539114
Walking-down-stairs,1581013576900,1581013595974
Running,1581013622527,1581013638842
Walking-down-stairs,1581013664104,1581013681307
Stationary,1581013856499,1581014004920
Walking-flat-surface,1581014025715,1581014159054
Walking-up-stairs,1581014188968,1581014205989
Walking-down-stairs,1581014208259,1581014226085
Elevator-up,1581014238001,1581014250754
Elevator-down,1581014259909,1581014270969
Running,1581014285841,1581014289057
Running,1581014303024,1581014327498
