Stationary,1580762561576,1580762598253
Stationary,1580762625839,1580762664161
Walking-flat-surface,1580762676999,1580762691004
Running,1580762708059,1580762715676
Running,1580770643256,1580770655525
Stationary,1581013525860,1581013621832
Walking-flat-surface,1581013654561,1581013752340
Walking-up-stairs,1581013775451,1581013787920
Walking-down-stairs,1581013821865,1581013864487
Elevator-up,1581013918518,1581013940637
Elevator-down,1581013949608,1581013966532
Elevator-up,1581013978198,1581013999518
Elevator-down,1581014007962,1581014030032
Elevator-up,1581014042351,1581014060246
Elevator-down,1581014072243,1581014087005
