Stationary,1549563519993,1549563559807
Stationary,1549563620487,1549563624730
Stationary,1549563692882,1549563888518
Stationary,1549563890123,1549563898323
Walking-flat-surface,1549563903520,1549564060582
Walking-up-stairs,1549564082596,1549564125842
Walking-down-stairs,1549564138254,1549564175732
Walking-up-stairs,1549564185922,1549564221215
Walking-down-stairs,1549564229500,1549564261977
Walking-up-stairs,1549564268718,1549564304810
Walking-down-stairs,1549564308960,1549564342855
Elevator-up,1549564441757,1549564476093
Elevator-down,1549564486104,1549564501390
Elevator-up,1549564516083,1549564535379
Elevator-down,1549564544145,1549564559650
Elevator-up,1549564575979,1549564591486
Elevator-down,1549564602814,1549564621000
Elevator-up,1549564634203,1549564647692
Elevator-down,1549564661076,1549564676201
Running,1549564745974,1549564887368
Stationary,1549565215802,1549565396635
Walking-flat-surface,1549565406152,1549565539695
Walking-up-stairs,1549565602838,1549565646120
Walking-down-stairs,1549565663260,1549565698035
Walking-up-stairs,1549565715862,1549565756269
Walking-down-stairs,1549565765587,1549565797902
Elevator-up,1549565830118,1549565842968
Elevator-down,1549565857605,1549565870230
Elevator-up,1549565888202,1549565901067
Elevator-down,1549565915109,1549565927814
Running,1549565974253,1549566051688
Stationary,1549566319897,1549566451133
Walking-flat-surface,1549566459142,1549566587079
Walking-up-stairs,1549566599095,1549566678754
Walking-down-stairs,1549566685227,1549566758450
Running,1549566801144,1549566920810
Running,1549567027597,1549567141185
Elevator-down,1549567147075,1549567229682
Stationary,1488632925661,1488633071490
Walking-flat-surface,1488633098846,1488633229103
Walking-up-stairs,1488633271195,1488633292301
Walking-up-stairs,1488633304011,1488633321449
Walking-down-stairs,1488633332799,1488633348481
Walking-down-stairs,1488633354644,1488633370136
Walking-up-stairs,1488633375604,1488633394279
Walking-up-stairs,1488633399765,1488633416281
Walking-down-stairs,1488633422979,1488633439565
Walking-down-stairs,1488633445588,1488633463982
Walking-up-stairs,1488633469328,1488633498135
Walking-up-stairs,1488633505467,1488633524348
Walking-down-stairs,1488633529675,1488633548263
Walking-down-stairs,1488633554758,1488633574003
Elevator-up,1488633600718,1488633613792
Elevator-down,1488633627352,1488633641113
Elevator-up,1488633658967,1488633674828
Elevator-down,1488633687740,1488633702063
Elevator-up,1488633720722,1488633735537
Elevator-down,1488633749275,1488633762848
Running,1488633804947,1488633841682
